Name,Type,Default,Doc
*label,dynamic(str|Icon),"""""",The label displayed in the button.
on_action,Callback,,"The name of a function that is triggered when the button is pressed.
The parameters of that function are all optional:
<ul>
<li>state (<code>State^</code>): the state instance.</li>
<li>id (str): the identifier of the button.</li>
<li>action (str): the name of the action that triggered the callback.</li>
</ul>"
>active,,,
>shared,,,
